Date,cc_gross,co_gross,oc_gross,oc_net2bp
2022-09-06,2.337310942020708,1.6620012662734271,1.4068914635766765,1.0082848865460061
2022-09-07,2.335140761603547,1.6621272347775065,1.4054669863677125,1.0068606844289303
2022-09-08,2.3465027718417226,1.6704923618642804,1.405160675483783,1.006238502495482
2022-09-09,2.3435725825922415,1.6667964131767905,1.4064838474924082,1.0067835333409356
2022-09-12,2.3492428363870426,1.6695456201628915,1.407562370803492,1.007152844086895
2022-09-13,2.341560787027514,1.6667823417385685,1.4052988770549575,1.0051303856840195
2022-09-14,2.359867166441115,1.6686337752040048,1.4148902557062286,1.0115885013420174
2022-09-15,2.368519378891193,1.670980650185454,1.4180858771150893,1.0134686041809366
2022-09-16,2.367563819306765,1.6724939972682056,1.4162084825735133,1.0117214923372
2022-09-20,2.3681229255704737,1.6713005343400362,1.417539247101333,1.0122674851481244
2022-09-21,2.376165817089137,1.6742159228467655,1.4198976591786683,1.0135467247252083
2022-09-22,2.3817071739916775,1.6775056326026996,1.4204082056153184,1.0135057426306897
2022-09-26,2.3857531286971128,1.6756064202278695,1.4243324333895013,1.0159003997593727
2022-09-27,2.384790381490525,1.6743128375827423,1.4248531983988988,1.015865473520951
2022-09-28,2.3786554726394997,1.674142924448715,1.4212897625049732,1.012918534731679
2022-09-29,2.381840164482217,1.6762458925176984,1.42141422001209,1.012602065146386
2022-09-30,2.3798363620038065,1.6770328760574247,1.419568843619617,1.0108823956078226
2022-10-03,2.405709890508567,1.6769774277658018,1.4351059308797969,1.0215420837215792
2022-10-04,2.4128273584789546,1.679774199904277,1.4369029899046215,1.022412655679168
2022-10-05,2.421997771560094,1.6814423121709159,1.4409151801509825,1.0248585208411303
2022-10-06,2.42961486670494,1.68184461276428,1.445084845982836,1.027414274245279
2022-10-07,2.432501136455821,1.68272373466083,1.4460770229517856,1.0277087181752362
2022-10-11,2.4549226738091257,1.6917065466929542,1.4517992606198284,1.031364356892648
2022-10-12,2.461063475701072,1.6967127685614218,1.4511386376826607,1.030482501811319
2022-10-13,2.4654943251375228,1.6959219404393702,1.454430848292987,1.0324081732558805
2022-10-14,2.4735982666017082,1.6962264716477975,1.4588621832619861,1.0351407335058287
2022-10-17,2.47468902426979,1.702636693433284,1.4539688351336846,1.0312545850374797
2022-10-18,2.4810466233815327,1.707741228858294,1.453374514236494,1.0304205499935353
2022-10-19,2.4848514980911793,1.7095233817930653,1.454063916092543,1.030497157263075
2022-10-20,2.485364397007025,1.7122330268202566,1.4520611766162204,1.0286656140960795
2022-10-21,2.4826228028303365,1.7168570072982385,1.4465547695447172,1.0243533124704396
2022-10-24,2.468176129888515,1.7182466069377653,1.4370927623957637,1.0172432106961198
2022-10-25,2.46538783022476,1.7165644798785868,1.4368950581529403,1.016696368862679
2022-10-26,2.4718769522047523,1.719825615524791,1.4379490091423808,1.017035428939429
2022-10-27,2.464902942349728,1.7197845330417945,1.433903881965088,1.0137675691899393
2022-10-28,2.467483578510426,1.720186386509976,1.435086838903748,1.0141984106757482
2022-10-31,2.468262489576006,1.7234362145461046,1.4328485796123847,1.0122109183128198
2022-11-01,2.485943563301512,1.7247345562253638,1.4419835934137202,1.0182593053101154
2022-11-02,2.4860230124084537,1.7201994316980904,1.4457726819170287,1.020527673242482
2022-11-04,2.491901331055671,1.7224485685468398,1.4473238928574519,1.021214415558
2022-11-07,2.503393282824519,1.7299711107375233,1.4476779631782255,1.0210557575721928
2022-11-08,2.5125634763178755,1.7318571079148346,1.4513703532260933,1.0232515996245461
2022-11-09,2.5169792047270927,1.736566309264781,1.4499714128745165,1.0218560118186752
2022-11-10,2.5299170383649865,1.7381287089782689,1.4561889200318003,1.025829008950868
2022-11-11,2.57029128805796,1.7519204279599931,1.4677057570715384,1.0335318454700508
2022-11-14,2.5701371347339244,1.750889478410697,1.4684992505152852,1.0336771964618086
